invoiceDate,amount
2024-05-16,263313.64
2024-05-17,748432.21
2024-05-18,396292.8
2024-05-20,211150.13
2024-05-21,278143.27
2024-05-22,557134.33
2024-05-23,406725.72
2024-05-24,1565422.02
2024-05-25,104503.37
2024-05-27,589909.2
2024-05-28,974728.36
2024-05-29,356459.96
2024-05-30,332799.05
2024-05-31,95187.5
2024-06-01,415893.02
2024-06-03,388700.85
2024-06-04,551241.37
2024-06-05,1051078.72
2024-06-06,448274.97000000003
2024-06-07,342428.05
2024-06-08,699571.63
2024-06-10,293757.24
2024-06-11,392146.0
2024-06-12,369544.71
2024-06-13,162247.31
2024-06-14,293287.59
2024-06-15,360282.76
2024-06-17,291755.04
2024-06-18,618810.01
2024-06-19,535230.69
2024-06-20,274018.5
2024-06-21,180224.02
2024-06-22,477081.9
2024-06-24,1075175.67
2024-06-25,598859.84
2024-06-26,712323.2
2024-06-27,322869.11
2024-06-28,1255805.07
2024-06-29,39639.7
2024-07-01,519527.27
2024-07-02,615960.4
2024-07-03,434079.85
2024-07-04,833948.38
2024-07-05,117706.58
2024-07-06,957685.65
2024-07-08,386475.79
2024-07-09,632604.04
2024-07-10,206696.96
2024-07-11,936910.46
2024-07-12,220392.11000000002
2024-07-13,293766.14
2024-07-15,331660.02
2024-07-16,672275.1900000001
2024-07-17,242131.08
2024-07-18,454166.47
2024-07-19,972173.96
2024-07-20,486870.03
2024-07-22,421624.09
2024-07-23,1596200.21
2024-07-24,889755.05
2024-07-25,742721.84
2024-07-26,454083.47
2024-07-27,740680.68
2024-07-29,338094.5
2024-07-30,403478.6
2024-07-31,42840.14
2024-08-01,581093.15
2024-08-02,720891.6
2024-08-03,613279.44
2024-08-05,518326.86
2024-08-06,713789.3
2024-08-07,514046.36
2024-08-08,669556.94
2024-08-09,266584.47
2024-08-10,244309.23
2024-08-12,1251599.22
2024-08-13,783600.05
2024-08-14,566058.29
2024-08-15,627515.64
2024-08-16,638795.72
2024-08-17,167467.03
2024-08-19,890639.42
2024-08-20,344229.05
2024-08-21,546853.08
2024-08-22,814738.72
2024-08-23,1197268.44
2024-08-28,60140.08
2024-08-29,973497.43
2024-08-30,700211.57
